isbn,title,author,genre,publisher,itemType,totalCopies,availableCopies,borrowCount,lastIssueDate
"012","Structural Analysis","Russell C. Hibbeler","Engineering","Pearson","Book",10,10,0,""
"013","The Art of Computer Programming","Donald Knuth","Computer Science","Addison-Wesley","Book",5,5,0,""
"014","Psychology: Themes and Variations","Wayne Weiten","Psychology","Cengage","Book",15,15,0,""
"015","Modern Digital and Analog Communication","B.P. Lathi","Engineering","Oxford","Book",12,11,0,""
"016","A History of Western Philosophy","Bertrand Russell","Philosophy","Routledge","Book",7,7,0,""
"017","International Relations Theory","Stephen McGlinchey","Pol Science","E-IR","Book",9,9,0,""
"018","Data Communications and Networking","Behrouz Forouzan","Computer Science","McGraw Hill","Book",22,22,0,""
"019","Principles of Marketing","Philip Kotler","Keep current","Pearson","Book",25,25,0,""
"2022","Web of Science","Clarivate","Multidisciplinary","Clarivate Analytics","Database",999,999,0,""
"2021","Scopus","Elsevier","Citation Database","Elsevier","Database",999,999,0,""
"2020","ScienceDirect","Elsevier","Science & Technology","Elsevier","Database",999,999,0,""
"020","The Feynman Lectures on Physics","Richard Feynman","Physics","Caltech","Book",6,6,0,""
"021","Thermodynamics: An Engineering Approach","Yunus Cengel","Engineering","McGraw Hill","Book",14,14,0,""
"022","Sociology: A Global Perspective","Joan Ferrante","Sociology","Cengage","Book",11,11,0,""
"023","Computer Networking: A Top-Down Approach","James Kurose","Computer Science","Pearson","Book",16,16,0,""
"2019","SAGE Journals","SAGE","Social Sciences","SAGE Publishing","Database",999,999,0,""
"024","Introduction to Electrodynamics","David J. Griffiths","Physics","Cambridge","Book",9,8,0,""
"2018","PubMed","NLM","Medicine","National Library of Medicine","Database",999,999,0,""
"025","Discrete Mathematics and Its Applications","Kenneth Rosen","Mathematics","McGraw Hill","Book",20,20,0,""
"2017","MathSciNet","AMS","Mathematics","American Mathematical Society","Database",999,999,0,""
"026","Financial Accounting","Robert Libby","Business","McGraw Hill","Book",15,15,0,""
"2016","JUNO","Norstedts Juridik","Law","Norstedts Juridik","Database",999,999,0,""
"027","Signals and Systems","Alan V. Oppenheim","Engineering","Pearson","Book",10,8,0,""
"2015","JSTOR","ITHAKA","Multidisciplinary","ITHAKA","Database",999,999,0,""
"028","Robbins Basic Pathology","Vinay Kumar","Medical","Elsevier","Book",12,12,0,""
"2014","IEEE Xplore","IEEE","Electrical Engineering","IEEE/IET","Database",999,999,0,""
"029","Digital Design","M. Morris Mano","Engineering","Pearson","Book",18,18,0,""
"2013","Emerald Insight","Emerald","Management","Emerald Publishing","Database",999,999,0,""
